number,reaction,rate,comment
(R54),N2(A1) + O2 -> N2 + O(3P) + O(3P),1.70e-12,[32]
(R55),N2(A1) + O2 -> N2 + O2(b),7.50e-13,[32]
(R56),N2(A1) + O2 -> N2O + O2,7.80e-12,[66]
(R57),N2(A1) + N2(A1) -> N2 + N2(E),1.00e-11,[35]
(R58),N2(A1) + N2(A1) -> N2 + N2(B),7.70e-11,[32]
(R59),N2(A1) + N2(A1) -> N2 + N2(C),1.60e-10,[32]
(R60),N2(A1) + O(3P) -> N2 + O(1S),3.00e-11,[46]
(R61),N2(A1) + O(3P) -> NO + N(2D),7.00e-12,[35]
(R62),N2(A1) + O(3P) -> N2 + O(3P),2.00e-11,[35]
(R63),N2(A1) + H -> N2 + H,2.10e-10,[35]
(R64),N2(A1) + OH -> N2 + OH,1.00e-10,[35]
(R65),N2(A1) + H2O -> N2 + H + OH,5.00e-14,[35]
(R66),N2(A1) + NO -> N2 + NO(A),6.90e-11,[35]
(R67),N2(A2) + N2 -> N2(A1) + N2,1.00e-11,[35]
(R68),N2(A2) + O(3P) -> N2 + O(3P),2.00e-11,[35]
(R69),N2(A2) + H -> N2 + H,2.10e-10,[35]
(R70),N2(A2) + OH -> N2 + OH,1.00e-10,[35]
(R71),N2(A2) + H2O -> N2 + H + OH,5.00e-14,[35]
(R72),N2(A2) + NO -> N2 + NO(A),6.90e-11,[35]
(R73),N2(A2) + O(3P) -> NO + N(4S),7.00e-12,[32]
(R74),N2(B) + O2 -> N2 + O(3P) + O(3P),3.00e-10,[32]
(R75),N2(B) + N2 -> N2(A1) + N2,1.00e-11,[35]
(R76),N2(B) -> N2(A1) + hν,1.50e5,[32]
(R77),N2(a) + O2 -> N2 + O(3P) + O(1D),2.80e-11,[32]
(R78),N2(a) + N2 -> N2(B) + N2,2.00e-13,[66]
(R79),N2(a) + N2 -> N2 + N2,2.00e-13,[35]
(R80),N2(a) + H2 -> N2 + H + H,2.60e-10,[35]
(R81),N2(a) + H2O -> N2 + OH + H,3.00e-10,[58]
(R82),N2(a) + NO -> N2 + N(4S) + O(3P),3.60e-10,[66]
(R83),N2(C) + O2 -> N2 + O(3P) + O(3P),2.50e-10,[32]
(R84),N2(C) + N2 -> N2(B) + N2,1.00e-11,[32]
(R85),N2(C) + N2 -> N2(a) + N2,1.00e-11,[35]
(R86),N2(C) -> N2(B) + hν,2.80e7,[35]
(R87),N2(E) + N2 -> N2(C) + N2,1.00e-10,[35]
(R88),N2+(B) -> N2+ + hν,1.40e7,[67]
(R89),NO(A) -> NO + hν,5.10e6,[35]
(R90),N(2D) + O2 -> NO + O(1D),9.70e-12*exp(185/Tg),[16]
(R91),N(2D) + O2 -> NO + O(3P),1.50e-12*(Tg/300)**0.5,[66]
(R92),N(2D) + NO -> N2 + O(3P),1.80e-10,[68]
(R93),N(2D) + N2 -> N(4S) + N2,1.70e-14,[16]
(R94),N(2D) + O(3P) -> N(4S) + O(3P),3.30e-12*exp(260/Tg),[16]
(R95),N(2D) + H2O -> OH + NH,4.00e-11,[16]
(R96),N(4S) + HO2 -> NO + OH,2.19e-11,[69]
(R97),N(4S) + NO -> N2 + O(3P),3.51e-11*exp(-49.84/Tg),[46]
(R98),N(4S) + N(4S) + N2 -> N2 + N2,1.38e-33*exp(-502.9/Tg),[70]
(R99),N(4S) + NO2 -> NO + NO,2.30e-12,[46]
(R100),N(4S) + NO2 -> O(3P) + N2O,5.80e-12*exp(-220/Tg),[71]
(R101),N(4S) + O2 -> NO + O(3P),4.47e-12*(Tg/300)**1*exp(-3270.2/Tg),[72]
(R102),O2(a) + N(4S) -> O(3P) + NO,2.00e-14,[71]
(R103),O2(a) + O(3P) -> O(3P) + O2,7.00e-16,[66]
(R104),O2(a) + O2 -> O2 + O2,2.20e-18*(Tg/300)**0.8,[73]
(R105),O2(a) + N2 -> O2 + N2,1.4e-19,[74]
(R106),O2(a) + NO -> O(3P) + NO2,3.49e-17,[75]
(R107),O2(a) + NO -> NO + O2,2.50e-11,[76]
(R108),O2(b) + N2 -> O2(a) + N2,2.10e-15,[77]
(R109),O2(b) + O2 -> O2(a) + O2,4.10e-17,[77]
(R110),O2(b) + O(3P) -> O2 + O(3P),8.00e-14,[77]
(R111),O2(b) + H2O -> O2 + H2O,4.60e-12,[77]
(R112),O2(b) + O3 -> O2(a) + O2(a) + O(3P),1.80e-11,[66]
(R113),O2(b) + NO -> O2(a) + NO,4.00e-14,[66]
(R114),O2(A) + O2 -> O2(b) + O2(b),2.90e-13,[66]
(R115),O2(A) + N2 -> O2(b) + N2,3.00e-13,[66]
(R116),O2(A) + O(3P) -> O2(b) + O(1D),9.00e-12,[66]
(R117),O(3P) + O2 + N2 -> O3 + N2,5.51e-34*(Tg/300)**-2.6,[77]
(R118),O(3P) + O2 + O2 -> O3 + O2,6.01e-34*(Tg/300)**-2.6,[77]
(R119),O(3P) + O(3P) + N2 -> O2 + N2,9.46e-34*exp(484.7/Tg),[78]
(R120),O(3P) + O(3P) + O2 -> O2 + O2,3.81e-33*(Tg/300)**-0.63,[79]
(R121),O(3P) + N(4S) + N2 -> NO + N2,6.89e-33*exp(134.7/Tg),[78]
(R122),O(3P) + NO + N2 -> NO2 + N2,1.03e-30*(Tg/300)**-2.87*exp(780.5/Tg),[80]
(R123),O(3P) + HO2 -> OH + O2,2.70e-11*exp(224/Tg),[77]
(R124),O(3P) + NO2 -> O2 + NO,5.50e-12*exp(-187.9/Tg),[77]
(R125),O(1D) + O2 -> O(3P) + O2,3.12e-11*exp(70/Tg),[81]
(R126),O(1D) + N2 -> O(3P) + N2,2.10e-11*exp(115/Tg),[81]
(R127),O(1D) + H2 -> OH + H,1.10e-10,[77]
